Sr No.,Lot ID,Spot ID,Price/Hour,Address,Parking Time,Leaving Time,Parking Charges,Vehicle Name,Vehicle Number
1,2,6,250,borivali,2025-07-10 14:23:17.066017,2025-07-10 14:23:24.910139,0.55,hyundai exter,GJ39CB0547
2,1,1,300,bopal,2025-07-10 14:23:21.339848,2025-07-10 14:23:40.842775,1.65,honda,GJ39CB0543
3,2,6,250,borivali,2025-07-10 14:23:51.064345,2025-07-10 14:25:46.293917,8.01,hyundai exter,GJ39CB0547
4,2,6,250,borivali,2025-07-10 14:26:26.675331,2025-07-10 14:26:34.204546,0.57,honda,GJ39CB0547
5,1,1,300,bopal,2025-07-10 14:27:51.804724,2025-07-10 14:27:58.955235,0.66,hyundai exter,GJ39CB0547
6,1,1,300,bopal,2025-07-10 14:41:00.624365,2025-07-10 14:59:25.952064,92.16,hyundai exter,GJ39CB0547
7,1,2,300,bopal,2025-07-10 14:58:20.295824,2025-07-10 14:58:25.952531,0.5,hyundai exter,GJ39CB0545
8,2,50,250,borivali,2025-07-10 14:58:24.560496,2025-07-10 14:59:36.581955,5.04,honda,GJ39CB0546
9,1,1,300,ncr,2025-07-10 20:00:32.282820,2025-07-11 06:57:51.696992,3286.64,hyundai exter,GJ39CB0547
10,1,1,300,ncr,2025-07-11 06:58:15.320263,2025-07-12 16:03:24.555071,9925.8,hyundai exter,GJ39CB0547
11,1,2,300,ncr,2025-07-11 06:58:23.593238,2025-07-12 16:03:29.275738,9925.52,honda,GJ39CB0548
12,1,3,300,ncr,2025-07-11 06:58:53.585931,2025-07-15 04:15:24.950311,27982.66,hyundai exter,GJ39CB0546
13,1,4,300,ncr,2025-07-11 06:59:51.031518,2025-07-15 04:15:41.211448,27979.18,hyundai exter,GJ39CB0543
14,1,3,300,ncr,2025-07-15 07:14:08.767793,,,hyundai exter,GJ39CB0547
15,1,4,300,ncr,2025-07-15 07:16:19.546489,2025-07-15 07:25:55.654565,48.05,honda,GJ39CB0545
16,1,5,300,ncr,2025-07-15 07:17:42.714528,2025-07-15 07:26:41.689580,44.97,hyundai exter,GJ39CB0546
17,1,4,300,ncr,2025-07-15 07:26:18.204876,2025-07-15 07:26:34.164137,1.35,honda,GJ39CB0548
